Rohit Sharma,285,133.5,32.5,-,-,Right-Handed Batsman,https://drive.google.com/thumbnail?id=16YtWtkNeKn6U1NQ1l3rlbIRoUWBDb9kB,-,-
suryakumar yadav,95,134.9,26.6,-,-,Right-Handed Batsman,https://drive.google.com/thumbnail?id=1AUVQlT_eopLGqURUh8nAAI2Rzt2anPEN,-,-
siddhesh lad,20,120.5,29,-,-,Right-Handed Batsman,https://drive.google.com/thumbnail?id=1r5plpq04yAmXcp97SIkB389WC0jRMn64,-,-
aditya tare,76,131.9,26.8,-,-,Right-Handed Batsman,https://drive.google.com/thumbnail?id=1EZT4ljEj2o06WajaZ0xMtHPELJ8TC8S5,-,-
saurabh tiwary,118,121.6,29.3,-,-,Left-Handed Batsman,https://drive.google.com/thumbnail?id=1hgic_5csBEK5tnqS33qLeWAqOH8A5j5b,-,-
ajinkya rahane,169,118.5,30.2,-,-,Right-Handed Batsman,https://drive.google.com/thumbnail?id=1rhBFNoIPjQa5k19mcjrel_wxrj7iL9sr,-,-
rahul tripathi,43,132.6,24,-,-,Right-Handed Batsman,https://drive.google.com/thumbnail?id=111lz9r1lKHhyKZULyl5houbZ7-DtzkIj,-,-
shubman gill,13,146,33.8,-,-,Right-Handed Batsman,https://drive.google.com/thumbnail?id=1vxQZdr1d8BVPiJpJHPrMibeo3Afy0g8q,-,-
nitish rana,57,135.6,27.3,-,-,Left-Handed Batsman,https://drive.google.com/thumbnail?id=1xg6QsarQQ7q5Ev_qbwdFcusREO64T8OE,-,-
rinku singh,29,129.5,17.6,-,-,Left-Handed Batsman,https://drive.google.com/thumbnail?id=1FNdFlk-F38ldMPkaYR4xq7um8ofST2ua,-,-
manish pandey,182,118.9,28.3,-,-,Right-Handed Batsman,https://drive.google.com/thumbnail?id=1DDH6MzqG0hBTOmKYO6PkmZSMIDdd2vx2,-,-
shikhar dhawan,224,123.7,32.1,-,-,Left-Handed Batsman,https://drive.google.com/thumbnail?id=1XqQC4Nwnfm3XsfMlnoh-A84Uh8vGxSzr,-,-
shreyas iyer,74,128.7,28.7,-,-,Right-Handed Batsman,https://drive.google.com/thumbnail?id=1R848s8rWEC35B43S1r7jtJ7x6PZJUmqz,-,-
prithvi shaw,9,153.1,27.2,-,-,Right-Handed Batsman,https://drive.google.com/thumbnail?id=1eiyuI7hOVyCDZyYkgofc4egZfnUWnaJF,-,-
gautam gambhir,245,120.6,29,-,-,Left-Handed Batsman,https://drive.google.com/thumbnail?id=1iVFBonpJCAC3doqW4nEtU43fDq6lmy1t,-,-
suresh raina,280,139.2,33.6,-,-,Left-Handed Batsman,https://drive.google.com/thumbnail?id=1YSJ2dnEDGRhZptdfftOcF8JHCp12SHx1,-,-
murali vijay,152,121.5,25.4,-,-,Right-Handed Batsman,https://drive.google.com/thumbnail?id=11G9vYF1hLa89R6BfkhxehQpGQSf6TGoL,-,-
kedar jadhav,94,136.3,23.8,-,-,Right-Handed Batsman,https://drive.google.com/thumbnail?id=1sMjhNFqffG48Z-7HrXIb6va9BosUYVlK,-,-
dhruv shorey ,15,123.6,29.8,-,-,Right-Handed Batsman,https://drive.google.com/thumbnail?id=1snEFh7azZyQfggEi98jtBXUjRO9b8xoa,-,-
virat kohli,236,133.3,40.9,-,-,Right-Handed Batsman,https://drive.google.com/thumbnail?id=1S7sbD18ifLX0UpdZPwWUVT916rdc-bdm,-,-
mandeep singh,122,125,26,-,-,Right-Handed Batsman,https://drive.google.com/thumbnail?id=1VVD4Z6wH3mThXInSI7x0UXe8H_aJWafM,-,-
sarfaraz khan,36,144.3,19.7,-,-,Right-Handed Batsman,https://drive.google.com/thumbnail?id=1eQUMxKTSQQsPV32SBpRyKbmqo3vUmUFq,-,-
mayank agrawal,106,130.8,23.4,-,-,Right-Handed Batsman,https://drive.google.com/thumbnail?id=1GEAebMBjcZ7hqzWrpwj3IPOSxNn3pOtW,-,-
karun nair,95,131,24.9,-,-,Right-Handed Batsman,https://drive.google.com/thumbnail?id=1wJA0w3M0toVlKo0Q8fewlm1Om4NRPgZT,-,-
manoj tiwary,141,116.9,29.9,-,-,Right-Handed Batsman,https://drive.google.com/thumbnail?id=1GULHfE3ZyENI89r5_k9XdfPQx6PyAvI4,-,-
ricky bhui,28,118.7,28.5,-,-,Right-Handed Batsman,https://drive.google.com/thumbnail?id=1apfEg_j2ihqkOKqulpoHGoX7sC0IAvwe,-,-
sanju samson ,124,124.4,26.9,-,-,Right-Handed Batsman and Wicketkeeper,https://drive.google.com/thumbnail?id=1nKMyj3wNQnGDHJt9R-JIuFwoMAUbdDqh,-,-
dinesh karthik,230,132.7,27.4,-,-,Right-Handed Batsman and Wicketkeeper,https://drive.google.com/thumbnail?id=14ds6TtSCn-p06a6ca7u_sktTqnxJTnzF,-,-
robin uthappa,232,134.6,28.8,-,-,Right-Handed Batsman and Wicketkeeper,https://drive.google.com/thumbnail?id=1OsOHbS1p7G8r1UfQvRAN0jXkp3qumJvJ,-,-
sreevats goswami,68,109.1,24.8,-,-,Left-Handed Batsman and Wicketkeeper,https://drive.google.com/thumbnail?id=1Z35GgTL926OPFWf4W4n_Fs40XZSnpyy-,-,-
wriddhiman saha,148,130.2,24.3,-,-,Right-Handed Batsman and Wicketkeeper,https://drive.google.com/thumbnail?id=1FpDrr0EqFS2obUC4s6kejz3osh9K_YVV,-,-
rishabh pant,63,162.6,34.8,-,-,Left-Handed Batsman and Wicketkeeper,https://drive.google.com/thumbnail?id=1JDp_EpKceOoF3yfR2bPZivkYbRUX3d7T,-,-
ishan kishan,52,129.2,23,-,-,Left-Handed Batsman and Wicketkeeper,https://drive.google.com/thumbnail?id=1vPZArP9WWYiORJF33BAva7bOxYBrFMKu,-,-
naman ojha,150,117.6,20.8,-,-,Right-Handed Batsman and Wicketkeeper,https://drive.google.com/thumbnail?id=16Kv-vk1HKAGes4W1Mj1m-VCQMNOHxKFA,-,-
MS dhoni,269,136,38.4,-,-,Right-Handed Batsman and Wicketkeeper,https://drive.google.com/thumbnail?id=1MWuQAh1bsohPQki3HcFIisJnY1uDyEVx,-,-
ambati rayudu,184,126,26.5,-,-,Right-Handed Batsman and Wicketkeeper,https://drive.google.com/thumbnail?id=1yaDxk2KnwA7IN9X0uzCaY_O4wHX3HDqL,-,-
parthiv patel,179,122.4,22.9,-,-,Left-Handed Batsman and Wicketkeeper,https://drive.google.com/thumbnail?id=19wDUYH-TnB5M9Hq7vn7Og0NpK6iiUNnX,-,-
Kl rahul ,80,138.7,37.7,-,-,Right-Handed Batsman and Wicketkeeper,https://drive.google.com/thumbnail?id=1jUXRrIO5PQ8om6tNJRn5PEj2YXj2dvKt,-,-
prashant chopra,29,113.4,32.6,-,-,Right-Handed Batsman and Wicketkeeper,https://drive.google.com/thumbnail?id=1-8xPLIFrbuXqMWaT8wh1GHleUnC7nKV8,-,-
M. shami,65,-,-,26.6,8.29,Right-Arm Fast Medium Bowler,https://drive.google.com/thumbnail?id=1MFIisHQ0VUBHr7l8uj3hYdrQEM3h-owM,-,-
basil thampi,43,-,-,27,8.39,Right-Arm Fast Medium Bowler,https://drive.google.com/thumbnail?id=1MSOMIHEuBQfDNSX0yGzzGQ0VD96FB1hA,-,-
harbhajan singh,239,-,-,26.2,6.73,Right-Arm Off Spin Bowler,https://drive.google.com/thumbnail?id=18uzpSpFKohrChwlFQQL0HO183eZX76vQ,-,-
siddharth kaul,85,-,-,23.7,7.26,Right-Arm Medium Bowler,https://drive.google.com/thumbnail?id=1CWsZVmCYsFoonkFwj18Z-8GclhNIWhX1,-,-
mayank markande,18,-,-,24.4,8.11,Right-Arm Leg Spin Bowler,https://drive.google.com/thumbnail?id=1jYfA9ZXTXLyY25wODI65ijNWfkAib0kg,-,-
deepak chahar,38,-,-,24.2,7.51,Right-Arm Medium Bowler,https://drive.google.com/thumbnail?id=1LGXTJY4gC-GIIhNa0zKavhdvA5GAJTXP,-,-
vinay kumar,163,-,-,26.3,7.99,Right-Arm Medium Bowler,https://drive.google.com/thumbnail?id=1PhvTZgQhz_utgaDzGzu5TJz_ZPF-d_Ew,-,-
sandeep sharma,94,-,-,23.6,7.55,Right-Arm Medium Bowler,https://drive.google.com/thumbnail?id=1yCmOrf2viWjJWSYUBWesLnJ-TvNQSizq,-,-
piyush chawla ,207,-,-,24.7,7.52,Right-Arm Leg Spin Bowler,https://drive.google.com/thumbnail?id=1o-lcD7BvDNQTDUf2K1Wnja-eGbcVCfRn,-,-
dhawal kulkarni,117,-,-,25,7.84,Right-Arm Medium Bowler,https://drive.google.com/thumbnail?id=1-p_sGT7wp3QH2BbjQ8qz7XYm3-6rR0m-,-,-
mohit sharma,110,-,-,28,8.36,Right-Arm Medium Bowler,https://drive.google.com/thumbnail?id=1EOlru44MiO54ZM4MskMifwxGPLONdyDu,-,-
barinder sran ,37,-,-,25.9,8.17,Left-Arm Medium Bowler,https://drive.google.com/thumbnail?id=1kwrCQBORi2KvHvilPPS7c_XfExpBZpu5,-,-
kuldeep yadav,79,-,-,19.4,7.33,Left-Arm Off Spin Bowler,https://drive.google.com/thumbnail?id=1keYLwOMiBpIXKjlVJ_eiAim3GsAiBxOv,-,-
bhuvneshwar kumar,149,-,-,23.9,7.13,Right-Arm Medium Bowler,https://drive.google.com/thumbnail?id=1D--QE9awbtH5A-XJM-mizGFITRWn9aRO,-,-
rahul chahar,6,-,-,20,6.95,Right-Arm Leg Spin Bowler,https://drive.google.com/thumbnail?id=1KhZ1qqVXpr6ViB9VQqg7rdXiKiDogiiU,-,-
karn sharma,109,-,-,24.6,7.35,Right-Arm Leg Spin Bowler,https://drive.google.com/thumbnail?id=12OIcB9e_GvHlNDoGLz3qIJaHXopRKPX8,-,-
shardul thakur,54,-,-,26.3,8.46,Right-Arm Medium Bowler,https://drive.google.com/thumbnail?id=1pLLwyYf16HTQrlLWtP6wiSvXWyhbrXsL,-,-
yuzvendra chahal,133,-,-,23,7.48,Right-Arm Leg Spin Bowler,https://drive.google.com/thumbnail?id=1bMpHkuEMPxamjXwSfvS_E6jRRIzRRyHK,-,-
umesh yadav,128,-,-,27,8.2,Right-Arm Fast Medium Bowler,https://drive.google.com/thumbnail?id=1Pt2miHHpkrikSvhyi9Az19FzWGyMhZ0Q,-,-
mohammad siraj,35,-,-,23.5,8.69,Right-Arm Medium Fast Bowler,https://drive.google.com/thumbnail?id=1qseuJB2FHtbC4IKnC7L68mJtpIPGjqf0,-,-
ankit rajpoot ,54,-,-,19.9,7.51,Right-Arm Medium Bowler,https://drive.google.com/thumbnail?id=1JusqhKcaFpjikrS78S3g3WCS77QtUWf1,-,-
prasidh krishna ,10,-,-,24.1,8.89,Right-Arm Medium Bowler,https://drive.google.com/thumbnail?id=1q77lY0qvp3bi2cClZz8P9AjX30CG4-rv,-,-
ravichandran ashwin,207,-,-,24.3,6.85,Right-Arm Off Spin Bowler,https://drive.google.com/thumbnail?id=1IC1jG7AK5HWBUcGsRQniLkNtI6MvL40d,-,-
harshal patel,75,-,-,27.7,7.9,Right-Arm Medium Bowler,https://drive.google.com/thumbnail?id=1Txrqh58G3wovC9dVRM7HtVcH_ZJW3L_F,-,-
kamlesh nagarkoti,-,-,-,-,-,Right-Arm Fast Bowler,https://drive.google.com/thumbnail?id=1HEZbihVrXYZbTUKdAL_WU0iT4gGH3ECs,-,-
amit mishra,198,-,-,21.8,7.15,Right-Arm Leg Spin Bowler,https://drive.google.com/thumbnail?id=1fWInVJTzKSAvU-0YhYX6nF012LFUyqaN,-,-
thangarasu natarajan ,11,-,-,42.7,8.62,Left-Arm Medium Bowler,https://drive.google.com/thumbnail?id=1wQuVKA7X9H0iyiOMljksy2TqE_aNfd6A,-,-
shahbaaz nadeem,107,-,-,29.1,6.77,Left-Arm Leg Spin Bowler,https://drive.google.com/thumbnail?id=1XU7vrwKp1xbctWjHE2BGR-6BUkMFdfxA,-,-
aryaman birla,-,-,-,-,-,Left-Arm Leg Spin Bowler,https://drive.google.com/thumbnail?id=1DkmFFdq8HTXlYsBt5U2JJlUQ9l6O_fh1,-,-
Jasprit Bumrah,131,-,-,22.9,7.18,Right-Arm Fast Medium Bowler,https://drive.google.com/thumbnail?id=1QUgFiVGlZ_xn9a2zfE4MUYJ464u4hsC4,-,-
khaleel ahmed ,21,-,-,24.3,8.09,Left-Arm Medium Bowler,https://drive.google.com/thumbnail?id=1Ndk9zmiwDSO8k7D-X5iKlIWUmd5dYLHz,-,-
Sudheshan midhun,3,-,-,66,6,Right-Arm Leg Spin Bowler,https://drive.google.com/thumbnail?id=1Z-6m09bIpTetiKgaUXzcHDxQ6-LQL2-x,-,-
avesh khan ,12,-,-,30.3,8.46,Right-Arm Medium Bowler,https://drive.google.com/thumbnail?id=13OlXdpfJ4zZsbE4SE0fC2BGdE6gbvR9z,-,-
Krunal Pandya,54,147.6,27.3,25.6,7.26,Left-Handed Batsman and Left-Arm Leg Spin Bowler,https://drive.google.com/thumbnail?id=12KVy6oQutBflwAGgkTu4DVFDtBNw0lMX,-,-
stuart binny,101,124.8,19,25.7,7.65,Right-Handed Batsman and Right-Arm Medium Bowler,https://drive.google.com/thumbnail?id=1TdeesN_HmoKz31SLXcA5nmzSWpfpI9oR,-,-
shivam mavi,9,86.7,4.3,54,9.64,Right-Handed Batsman and Right-Arm Fast Medium Bowler,https://drive.google.com/thumbnail?id=1z1pdcT2H2T1fRuvQ7RjZVdfPsnGJPaZO,-,-
bipul sharma,65,137.4,21.2,23.2,6.45,Left-Handed Batsman and Left-Arm Leg Spin Bowler,https://drive.google.com/thumbnail?id=1NnZCTXy9HJWNUTYq5AWBLDquFayZ1L5q,-,-
yusuf pathan,219,142.6,27.6,28.8,7.7,Right-Handed Batsman and Right-Arm Off Spin Bowler,https://drive.google.com/thumbnail?id=1gtmrvVcQYW4ZZ_2sXubgh-0Dud0IGTvR,-,-
shreyas gopal,24,115,17,21.4,7.7,Right-Handed Batsman and Right-Arm Leg Spin Bowler,https://drive.google.com/thumbnail?id=1MY4FVesMntR6CuiM5B3U8BoJZ4bakRL1,-,-
deepak hooda,71,140,21.2,49.6,7.85,Right-Handed Batsman and Right-Arm Off Spin Bowler,https://drive.google.com/thumbnail?id=1I4l0-h4Ik_JH6i6Vr2gr_ZbYTq69dljI,-,-
vijay shankar,48,128.5,27.3,41.8,8.93,Right-Handed Batsman and Right-Arm Medium Bowler,https://drive.google.com/thumbnail?id=1GhBVa5igc5pVc2o8IusMgQXhSBJ8qlPi,-,-
ravindra jadeja,150,123,21.7,31.4,7.78,Left-Handed Batsman and Left-Arm Leg Spin Bowler,https://drive.google.com/thumbnail?id=1iBSomn7-IYIEaaKLxv_J7MrLu62VULFV,-,-
washington sundar,21,122.8,20.3,22.9,6.96,Left-Handed Batsman and Right-Arm Off Spin Bowler,https://drive.google.com/thumbnail?id=1qm_9dwXhHItkSgmWPhey42NfH3L_CDTE,-,-
pawan negi,71,110,16.8,23,7.31,Left-Handed Batsman and Left-Arm Leg Spin Bowler,https://drive.google.com/thumbnail?id=13ojqkrdbLKlUX6a2LzZpdtmfRHyzazHg,-,-
axar patel,74,131.7,20.3,27.6,7.13,Left-Handed Batsman and Left-Arm Leg Spin Bowler,https://drive.google.com/thumbnail?id=1fejRt93QV4T9RGDdgDKjC0HIzwOLJg6d,-,-
anukul roy ,-,-,-,-,-,Left-Handed Batsman and Left-Arm Leg Spin Bowler,https://drive.google.com/thumbnail?id=1AGhJhgU492KKo4iELT91lGx1-nViB5tX,-,-
yuvraj singh,208,129,25.9,24.2,7.44,Left-Handed Batsman and Left-Arm Leg Spin Bowler,https://drive.google.com/thumbnail?id=1CBSB2i0nkcSq_F1Z53mcrc3_MmWmDkdy,-,-
gurkeerat singh man,67,123.1,20.9,29.3,7.33,Right-Handed Batsman and Right-Arm Off Spin Bowler,https://drive.google.com/thumbnail?id=17olE-u8n8gdrPHP92Oo2kqeaIFb_LfCO,-,-
jayant yadav,36,113.5,16.8,34.8,5.95,Right-Handed Batsman and Right-Arm Off Spin Bowler,https://drive.google.com/thumbnail?id=1__S4vFNey96VsmRxzCD3x6L-NuoFW3t1,-,-
rahul tewatia ,18,147.1,25.2,24.6,6.97,Left-Handed Batsman and Right-Arm Leg Spin Bowler,https://drive.google.com/thumbnail?id=1oxZA5m-iKafh7QDguAp4pNNTuy12r4jg,-,-
krishnappa gowtham,35,169,15.6,28.7,7.3,Right-Handed Batsman and Right-Arm Off Spin Bowler,https://drive.google.com/thumbnail?id=1Us2eOqSsS7g4J9NT1ASR9pMWqkNuzqKY,-,-
Hardik Pandya,96,132.3,25.8,27.1,8.07,Right-Handed Batsman and Right-Arm Medium Fast Bowler,https://drive.google.com/thumbnail?id=1gV8ywUmDzhE0ZXjJuBJtkb0nVzFJWAR5,-,-
Evin Lewis,120,144.7,31.9,-,-,Left Handed Batsman,https://drive.google.com/thumbnail?id=1lXg0U5_dGn8zBpFzl_4SzPvkjPYOD_B2,-,-
Jason Mohammad,71,101.8,24.7,-,-,Right Handed Batsman,https://drive.google.com/thumbnail?id=14RhbY6gxR4Fs-zCMV8XpV_muOd-qo8Pc,-,-
Marlon Samuels,181,117.9,32,-,-,Right Handed Batsman,https://drive.google.com/thumbnail?id=1lI5arMTBxVYEkVK-Smuh5UGy_rDZF8Vq,-,-
Rovman Powell,48,131.5,24.4,-,-,Right Handed Batsman,https://drive.google.com/thumbnail?id=1J_AwiW_6NYKtTT5SY3Vw06OBEaKKpcOR,-,-
Lendl Simmons,208,115.8,29.4,-,-,Right Handed Batsman,https://drive.google.com/thumbnail?id=13XaN5kvGbntkTT-HgXHhOHA2mTaSz8S_,-,-
Shimron Hetmyer,19,142.4,28.7,-,-,Left handed Batsman,https://drive.google.com/thumbnail?id=15jUfYfppXp7xE9rMQ6n3eRGMO9xdl9MK,-,-
Darren Bravo,115,119.5,32,-,-,Left handed Batsman,https://drive.google.com/thumbnail?id=13Mq7TkPZk2C1aaTZECuHhs5ttWuTPYT6,-,-
Andre Fletcher,155,114.6,28.4,-,-,Right handed Batsman and Wicket-Keeper,https://drive.google.com/thumbnail?id=1PJW-om72plMvxLDXIfxqeZi-FFMTGCgE,-,-
Denesh Ramdin,147,120.5,23,-,-,Right handed Batsman and Wicket-Keeper,https://drive.google.com/thumbnail?id=11fwf6CNJ5C1Rt0hvVhB0enrYbvI_J0NH,-,-
Shai Hope,22,134.2,25.6,-,-,Right handed Batsman and Wicket-Keeper,https://drive.google.com/thumbnail?id=1GUtX_b0ezoiPKuJ9hyjToZoqRVx72Kew,-,-
Nicolas Pooran,86,144.9,22.9,-,-,Left handed Batsman and Wicket-Keeper,https://drive.google.com/thumbnail?id=1wGyWlfsAdNveAJOEI4opzddy5QFSKadV,-,-
Samuel Badree,194,-,-,22.2,6.03,Right Arm Leg Spinner Bowler,https://drive.google.com/thumbnail?id=1pHSVXA7NVOGps-Ntkxk5Dc9YAOcEg61M,-,-
Sunil Narine,294,-,-,19.8,5.95,Right Arm Off Spinner Bowler,https://drive.google.com/thumbnail?id=1wUk36ubXdN2tO_LmcvRsOVILeQx5YESy,-,-
Jerome Taylor,88,-,-,24.5,8.12,Right Arm Fast Bowler,https://drive.google.com/thumbnail?id=1UH0vS2lomxdPTVTB8uI-jbUbKxrVOA87,-,-
Kesrick Williams,62,-,-,21.3,8.43,Right-Arm Fast Medium Bowler,https://drive.google.com/thumbnail?id=1mJIj0KoUwMsDGntSNUePHiCDg2lPgP9L,-,-
Oshane Thomas,20,-,-,23,8.84,Right-Arm Fast Medium Bowler,https://drive.google.com/thumbnail?id=1nDkNSCIOPsvqExMSKOIyJsvjSYGy39e4,-,-
Sheldon Cotrell,10,-,-,18.8,7.41,Left-Arm Fast Medium Bowler,https://drive.google.com/thumbnail?id=1lBbw4Me-y_JQ8baFxYsXfv6sTJAa2TtJ,-,-
Kieron Pollard,390,150.5,30.1,24.1,8.19,Right handed Batsman and Right-Arm Medium Fast Bowler,https://drive.google.com/thumbnail?id=1d1tFBhYpCbrhz_PGcZI4E_IjPbK_JKNI,-,-
Keemo Paul,16,120.6,15.2,26.2,8.2,Right handed Batsman and Right-Arm Fast Medium Bowler,https://drive.google.com/thumbnail?id=1Kvxs9PtIAsDIi3hxGvH7D873ixnE2FX2,-,-
Dwayne Bravo,416,127.3,24.6,24.3,8.28,Right handed Batsman and Right-Arm Medium Fast Bowler,https://drive.google.com/thumbnail?id=1q2jfVb8S1PpbLZJbjYohV-DSGaGvHGNS,-,-
Darren Sammy,232,142.1,21.3,28.4,7.93,Right handed Batsman and Right-Arm Medium Fast Bowler,https://drive.google.com/thumbnail?id=1dfLmPwVzDOZ07z2qzBcO9_LTPGFPHh6h,-,-
Andre Russell,222,167.4,24.4,25.4,8.19,Right handed Batsman and Right-Arm Fast Bowler,https://drive.google.com/thumbnail?id=1MYhvLKDWmqqUd_EHfxcRaNxmZlsuyhNI,-,-
Fabian Allen,7,163.8,30.8,27.3,7.42,Right handed Batsman and Left Arm Leg Spin Bowler,https://drive.google.com/thumbnail?id=1nX6m25owjQR_VyWa6TUZm4xhyz12Syk9,-,-
Jason Holder,59,128.1,14.8,34.9,7.76,Right handed Batsman and Right-Arm Medium Fast Bowler,https://drive.google.com/thumbnail?id=1psPRpXeStmz5IwtXYSg7D8G7KxBnGyHE,-,-
Carlos Brathwaite,102,146.7,17.6,26.8,7.99,Right handed Batsman and Right-Arm Fast Medium Bowler,https://drive.google.com/thumbnail?id=1UPLwDTk1_7TKh1C0KYQyGn0VvZ6CacBQ,-,-
Chris Gayle,361,147.1,39.2,31,7.65,Left handed Batsman and Right-Arm Off Spinner,https://drive.google.com/thumbnail?id=1OR7caODv0fqAiPK-Yo6l7JAktngLCoVN,-,-
Hasim amla,44,132.06,33.61,-,-,batsman,https://drive.google.com/thumbnail?id=18AMTq7gQDtCg85XK67qXNxh6TsYu4ktR,-,-
Colin Ingram,215,139.26,30.83,-,-,batsman,https://drive.google.com/thumbnail?id=1CRD9wLfflWk3iYgSK7zfG_Sg-STsj6f6,-,-
Quinton de Kock,150,132.65,30.23,-,-,batsman,https://drive.google.com/thumbnail?id=1KgLcALNrgDOOLJ8FkPUFNAeE9zsK46Fq,-,-
David Miller,278,139.54,35.27,-,-,Middle-order batsman,https://drive.google.com/thumbnail?id=1ioSntCRxBG8gDKnuxueYU2y2HlVdNzcq,-,-
Faf du Plessis,191,128.57,28.75,-,-,Middle-order batsman,https://drive.google.com/thumbnail?id=1ZogA93TwsRe3dvzes-n4RJAUJYKjkSLh,-,-
AB de Villiers,268,149.01,35.65,-,-,Wicketkeeper batsman,https://drive.google.com/thumbnail?id=1lIjV-XGtEDNdvkxKSaPK0L83X1pT9k0Q,-,-
Heinrich Klaasen,66,138.93,29.3,-,-,Wicketkeeper batsman,https://drive.google.com/thumbnail?id=17QV6g86cvsK5wzOFT2_B9CA45Ov0KX0p,-,-
Imran Tahir,231,-,-,17.95,6.67,bowler,https://drive.google.com/thumbnail?id=1Ex0wRkrfAFba6OGwYG5PljLI-Z6QJbn0,-,-
Dale Steyn,197,-,-,21.75,6.66,bowler,https://drive.google.com/thumbnail?id=1f9lRMcbeYRZ0jMHb0Y46cIYLb5ENryB6,-,-
Kyle Abbott,133,-,-,29.71,8.2,bowler,,-,-
Morné Morkel,174,-,-,25.68,7.55,bowler,https://drive.google.com/thumbnail?id=1x_hPshf-HMue5IuJaWMZlaWGW1QJ-Gm4,-,-
Marchant de Lange,82,-,-,25.54,8.64,bowler,https://drive.google.com/thumbnail?id=1OgPkfTj6hKvSw8bnGHfjj7zpG_d_l4YK,-,-
Hardus Viljoen,89,-,-,24.39,7.81,bowler,https://drive.google.com/thumbnail?id=1_5X0awN6D8TRuucn7R6XizwfkIX9URdk,-,-
Anrich Nortje,12,-,-,13.73,6.47,bowler,https://drive.google.com/thumbnail?id=1t4tm7GyxEI1Zn4XFqlpHJbb2i_g6TNvJ,-,-
Kagiso Rabada,56,-,-,21.82,7.43,bowler,https://drive.google.com/thumbnail?id=1Xumq50b2rRzppVmSa0IY8an5Jlm3n7jW,-,-
Keshav maharaj,26,-,-,29.44,6.94,bowler,https://drive.google.com/thumbnail?id=10XegSsElodzq4HuTim7CCSC4M4xQ6HVH,-,-
David Wiese,191,43.75,20.63,26.16,8.29,Allrounder,https://drive.google.com/thumbnail?id=1j0tWJkv5f-4WV0zVFv79uFzKKxRlNfO8,-,-
JP Duminy,246,121.8,37.79,30.2,7.63,batting allrounder,https://drive.google.com/thumbnail?id=1jn5SkfMymDvZZJcbBFz5Fw7C4QJQyTk-,-,-
Farhaan Behardien,165,133.42,35.54,35.2,9.28,Batting allrounder,https://drive.google.com/thumbnail?id=1vD4pBguQDc0WsQtC2QMx77sB5ByYJopB,-,-
Chris Morris,160,154,25.25,21.77,7.69,bowling allrounder,https://drive.google.com/thumbnail?id=1-uqtB611K7HM8_jq6H-9BeUAb-3O_94x,-,-
Albie Morkel,318,138.65,26.67,25.53,7.6,bowling allrounder,https://drive.google.com/thumbnail?id=1SKp8-2ORib1pHtRYkesFuIPwOS5yEwup,-,-
Kane Williamson,169,123.71,30.11,-,-,Right-handed Batsman,https://drive.google.com/thumbnail?id=13pl_clExpVig-nqIY-v3VafeWOd3dImd,-,-
Tom Bruce,64,148.93,28,-,-,Right-handed Batsman,https://drive.google.com/thumbnail?id=16L-WETT8V2UYkKG3H6M8gKDzorgnmEie,-,-
Martin Guptill,217,128.53,32.98,-,-,Right-handed Batsman,https://drive.google.com/thumbnail?id=1gfAyCtlevEJxJF1kQK320bOJzXhcbFT1,-,-
Tom Latham,77,132.88,27.53,-,-,Left-handed Batsman,https://drive.google.com/thumbnail?id=12LBZXZygxcAaX4JRKmD94W7d2a99keym,-,-
